/QB X,/QB Y,/Q X,/Q Y,/QB X,/QB Y,/Q X,/Q Y
1.675349213510259e-07,1.242197229530384e-06,1.675349213510259e-07,1.200000852602361,1.675349213510259e-07,1.242197229530384e-06,1.675349213510259e-07,1.200000852602361
1.77534921351026e-07,-1.160501781192285e-06,1.77534921351026e-07,1.199998922865676,1.77534921351026e-07,-1.160501781192285e-06,1.77534921351026e-07,1.199998922865676
1.87534921351026e-07,1.231492930320482e-06,1.87534921351026e-07,1.20000083139279,1.87534921351026e-07,1.231492930320482e-06,1.87534921351026e-07,1.20000083139279
1.97534921351026e-07,-1.149841765608759e-06,1.97534921351026e-07,1.199998943836304,1.97534921351026e-07,-1.149841765608759e-06,1.97534921351026e-07,1.199998943836304
2.07534921351026e-07,1.220876627636169e-06,2.07534921351026e-07,1.200000810664274,2.07534921351026e-07,1.220876627636169e-06,2.07534921351026e-07,1.200000810664274
2.17534921351026e-07,-1.139269448233078e-06,2.17534921351026e-07,1.199998964331371,2.17534921351026e-07,-1.139269448233078e-06,2.17534921351026e-07,1.199998964331371
2.27534921351026e-07,1.210347761869701e-06,2.27534921351026e-07,1.200000790405783,2.27534921351026e-07,1.210347761869701e-06,2.27534921351026e-07,1.200000790405783
2.37534921351026e-07,-1.128784269869162e-06,2.37534921351026e-07,1.199998984361782,2.37534921351026e-07,-1.128784269869162e-06,2.37534921351026e-07,1.199998984361782
2.47534921351026e-07,1.199905772766248e-06,2.47534921351026e-07,1.200000770606537,2.47534921351026e-07,1.199905772766248e-06,2.47534921351026e-07,1.200000770606537
2.57534921351026e-07,-1.118385671110326e-06,2.57534921351026e-07,1.199999003938191,2.57534921351026e-07,-1.118385671110326e-06,2.57534921351026e-07,1.199999003938191
2.67534921351026e-07,1.1895500997984e-06,2.67534921351026e-07,1.200000751256004,2.67534921351026e-07,1.1895500997984e-06,2.67534921351026e-07,1.200000751256004
2.775349213510261e-07,-1.108073091938069e-06,2.775349213510261e-07,1.199999023071011,2.775349213510261e-07,-1.108073091938069e-06,2.775349213510261e-07,1.199999023071011
